ppt_id,condition,nom_sfx,acc_sfx,trial_idx,task,agent,patient,verb,orientation,sentence,sentence_type,sentence_accepted,button_pressed,rt
8dzkaje8kv37ppt,Production,vu,jo,385,judge,chef,cowboy,kick,R,bujo zivu zux,word_order,1,f,4627
8dzkaje8kv37ppt,Production,vu,jo,386,judge,chef,cowboy,admire,R,buvu zijo vof,case_marking,1,f,4892
8dzkaje8kv37ppt,Production,vu,jo,387,judge,footballer,cowboy,admire,L,zejo zivu vof,word_order,1,f,1845
8dzkaje8kv37ppt,Production,vu,jo,388,judge,nun,pirate,admire,L,wujo kivu vof,word_order,1,f,1761
8dzkaje8kv37ppt,Production,vu,jo,389,judge,chef,pirate,kick,R,buvu kijo zux,case_marking,0,j,2799
8ny80xq4bpfpdp2,Production,vu,jo,338,judge,footballer,fairy,poke,R,zejo zivu wox,word_order,1,j,18096
8ny80xq4bpfpdp2,Production,vu,jo,339,judge,nun,fairy,poke,R,buvu zijo wox,case_marking,0,f,18103
8ny80xq4bpfpdp2,Production,vu,jo,340,judge,footballer,doctor,kiss,L,zejo ruvu kuv,word_order,1,j,14253
8ny80xq4bpfpdp2,Production,vu,jo,341,judge,nun,pirate,poke,R,buvu lojo wox,case_marking,0,f,9356
8ny80xq4bpfpdp2,Production,vu,jo,342,judge,footballer,pirate,kiss,R,zejo lovu kuv,word_order,1,j,13022
8ny80xq4bpfpdp2,Production,vu,jo,344,judge,princess,fairy,poke,R,fujo zivu wox,word_order,1,j,17870
8ny80xq4bpfpdp2,Production,vu,jo,345,judge,princess,fairy,poke,R,fuvu zijo wox,case_marking,0,f,13645
8ny80xq4bpfpdp2,Production,vu,jo,347,judge,footballer,fairy,kiss,L,zevu zijo kuv,case_marking,0,f,5568
8ny80xq4bpfpdp2,Production,vu,jo,349,judge,footballer,fairy,poke,R,zevu zijo wox,case_marking,0,f,7845
8ny80xq4bpfpdp2,Production,vu,jo,351,judge,footballer,doctor,kiss,L,zevu rujo kuv,case_marking,0,f,9901
8ny80xq4bpfpdp2,Production,vu,jo,352,judge,footballer,doctor,poke,R,zevu rujo wox,case_marking,0,f,6446
